x_value,total_1,total_2
0,1000,1000
1,1001,1000
2,1001,999
3,1006,997
4,1008,1002
5,1003,1007
6,1010,1007
7,1017,1008
8,1020,1010
9,1015,1011
10,1013,1012
11,1019,1018
12,1013,1022
13,1021,1023
14,1022,1019
15,1022,1014
16,1027,1017
17,1027,1015
18,1024,1015
19,1019,1020
20,1013,1024
21,1016,1019
22,1023,1019
23,1027,1022
24,1022,1028
25,1018,1029
26,1021,1025
27,1028,1031
28,1025,1030
29,1020,1036
30,1025,1035
31,1026,1031
32,1022,1028
33,1018,1028
34,1014,1034
35,1022,1030
